food_name,calories,sugar,sodium
กระเพาะปลา,150,1,102
ก๋วยจั๊บ,240,0,30
ก๋วยจั๊บญวณ,235,10,30
ก๋วยเตี๋ยวคั่วไก่,435,1,961
ก๋วยเตี๋ยวต้มยำกุ้ง,320,4,1830
ก๋วยเตี๋ยวผัดไทยใส่ไข่,577,51,1859
ก๋วยเตี๋ยวเรือน้ำตก,180,1,65
ก๋วยเตี๋ยวเส้นเล็กต้มยำหมู,335,4,2507
ก๋วยเตี๋ยวเส้นใหญ่ผัดซีอิ๊วใส่ไข่,520,5,2051
ก๋วยเตี๋ยวเส้นใหญ่ราดหน้าไก่,397,5,2000
ก๋วยเตี๋ยวเส้นใหญ่ราดหน้าหมู,397,5,2000
กุ้งแช่น้ำปลา,14,0,400
กุ้งทอดกระเทียมพริกไทย,86,2,1500
กุ้งผัดพริกอ่อน,235,3,600
กุ้งฝอยชุบแป้งทอด,308,1,344
กุ้งอบวุ้นเส้น,300,10,5748
กุนเชียงทอด,120,5,600
กุยช่ายทอด,114,7,403
เกาเหลาลูกชิ้นน้ำ,225,1,675
เกี๊ยวซ่า,63,1,130
เกี๊ยวกุ้งน้ำ,275,8,1500
แกงกะหรี่ไก่,450,20,1380
แกงกะหรี่หมู,325,20,1380
แกงขี้เหล็ก,195,0,596
แกงเขียวหวานไก่,240,10,451
แกงเขียวหวานลูกชิ้นปลากราย,240,10,451
แกงเขียวหวานหมู,235,10,451
แกงจืดไข่เจียว,120,1,501
แกงจืดตำลึงหมูสับ,90,1,434
แกงจืดเต้าหู้ไม่ใส่หมูสับ,80,1,434
แกงจืดเต้าหู้ยัดไส้,110,1,434
แกงจืดมะระยัดไส้หมูวุ้นเส้น,66,1,2000
แกงมัสมั่นไก่,325,2,612
แกงเลียง,115,2,516
แกงส้ม,28,8,1900
แกงส้มชะอมไข่ทอดใส่กุ้ง,270,8,1900
แกงส้มดอกแคกุ้ง,105,8,1900
แกงส้มปลาช่อนผักบุ้ง,105,8,1900
แกงส้มปลาแป๊ะซะ,160,8,1900
แกงส้มผักกระเฉดปลา,110,8,1900
แกงส้มผักบุ้งปลาช่อน,105,8,1900
แกงส้มผักรวม,120,8,1900
แกงหมูเทโพ,300,28,624
ไก่ทอด,345,1,400
ไก่ผัดขิง,210,2,560
ไก่ย่าง,165,1,400
ขนมจีน,80,1,500
ขนมจีนแกงเขียวหวานไก่,594,7,2738
ขนมจีนซาวน้ำ,320,7,2738
ขนมจีนน้ำเงี้ยว,243,7,2738
ขนมจีนน้ำพริก,228,7,2738
ขนมจีนน้ำยา,332,7,2738
ขนมจีนน้ำยาปักษ์ใต้,146,7,2738
ขนมจีบหมู,32,0,450
ข้าวกะเพราเนื้อ,622,4,540
ข้าวกุ้งทอดกระเทียม,495,1,423
ข้าวแกงกะหรี่ไก่,389,20,1443
ข้าวไก่อบ,490,1,300
ข้าวขาหมู,690,2,450
ข้าวไข่เจียว,445,1,350
ข้าวคลุกกะปิ,410,7,712
ข้าวซอยไก่,395,7,1438
ข้าวซอยหมู,395,10,1438
ข้าวต้ม ,120,2,300
ข้าวต้มทรงเครื่อง,230,2,440
ข้าวต้มปลา,325,2,440
ข้าวผัดกะเพราหมูกรอบ,650,2,1586
ข้าวผัดกะเพรากุ้ง,540,5,1448
ข้าวผัดกะเพราไก่,630,1,1586
ข้าวผัดกะเพราหมู,580,1,1586
ข้าวผัดกุ้งใส่ไข่,595,1,300
ข้าวผัดกุนเชียง,590,10,1616
ข้าวผัดคะน้าหมูกรอบ,670,3,2984
